Test_1,Test_2,Test_3,Test_4
362,299,307,291
373,284,257,316
430,335,270,261
309,308,209,276
268,336,241,316
306,317,305,260
275,407,268,262
238,376,263,360
415,283,208,314
231,372,267,297
375,330,211,256
284,342,245,265
239,310,243,323
362,283,211,283
261,340,267,261
289,330,276,300
339,327,278,290
302,284,210,263
308,321,258,310
237,302,218,287
257,313,281,285
335,281,268,292
237,286,211,297
314,341,259,320
268,293,207,316
307,345,224,297
224,304,217,264
270,281,256,315
236,319,212,260
279,291,250,301
301,340,215,262
294,335,261,326
237,287,289,308
287,343,235,260
227,288,240,258
316,331,245,313
263,331,280,300
233,285,271,347
266,344,227,317
276,304,212,259
335,310,257,319
223,344,260,255
238,309,209,316
250,286,211,272
315,344,209,255
275,287,285,295
230,330,277,259
234,284,243,293
297,284,214,260
285,360,284,336
309,342,284,310
276,287,209,353
268,347,279,316
230,302,211,263
304,289,251,311
279,327,257,336
315,289,287,312
229,333,277,266
290,330,226,288
265,284,211,292
234,569,247,267
277,357,245,334
235,291,210,300
296,288,211,294
248,340,279,255
229,318,231,326
301,321,213,268
267,338,297,303
239,284,248,293
295,312,277,258
297,336,269,319
254,287,212,255
301,286,228,339
251,340,210,301
325,290,211,316
302,368,237,349
233,340,214,300
269,316,270,259
231,283,244,306
387,325,231,308
438,288,240,299
331,337,213,319
239,287,265,290
290,333,242,260
307,354,206,264
229,284,245,312
419,304,243,261
271,348,210,311
361,345,256,315
428,378,211,322
257,331,290,259
293,330,214,314
289,332,248,322
259,281,207,274
241,353,290,262
276,334,211,319
231,280,257,319
247,283,211,264
289,359,288,291
300,293,262,299
248,331,282,302
241,286,210,307
325,340,251,288
329,449,239,290
289,347,248,285
539,282,213,265
358,334,251,297
248,354,287,265
317,308,209,261
252,333,265,453
264,354,270,322
321,341,225,287
259,281,259,294
266,312,237,317
262,291,206,301
280,288,268,256
258,367,207,310
231,325,267,261
324,291,245,283
294,319,209,274
228,314,270,260
311,317,231,260
282,321,210,333
269,343,207,332
238,351,304,314
286,327,267,273
235,290,212,283
286,343,207,260
303,301,271,331
249,321,257,320
309,384,244,254
253,353,237,281
298,287,248,293
264,356,241,253
283,308,215,299
236,304,266,319
320,290,210,261
291,359,246,290
262,316,280,322
230,355,272,340
251,327,289,269
296,303,264,339
276,286,261,264
252,334,210,318
232,295,244,318
225,290,309,301
300,342,208,267
244,322,279,256
311,384,209,317
285,319,256,299
246,285,275,304
266,335,267,263
245,286,255,314
238,369,264,273
290,327,263,282
273,301,208,254
227,289,294,263
280,332,241,313
273,335,277,299
294,334,221,297
240,315,257,261
262,285,262,322
319,322,207,314
324,312,257,258
369,295,212,332
321,321,261,262
296,372,210,284
288,361,252,367
394,347,215,314
235,306,275,285
231,282,209,261
400,301,255,287
340,363,249,279
312,310,271,337
239,367,264,262
311,429,210,268
299,388,212,322
269,371,276,256
234,279,278,318
239,333,243,263
294,413,228,505
280,340,212,296
287,285,252,327
266,288,210,279
280,322,238,294
281,284,214,266
305,346,212,319
250,293,285,265
250,347,247,308
306,303,216,309
262,289,254,516
319,325,209,263
275,380,267,318
301,355,251,318
292,318,212,260
308,291,212,340
315,314,288,312
329,360,211,249
243,347,266,288
337,291,262,289
297,366,227,261
233,284,256,273
289,337,224,338
296,364,211,290
257,330,208,261
254,312,268,249
267,343,231,330
241,289,213,278
302,335,262,322
292,289,270,302
239,345,260,261
292,334,213,312
281,330,231,323
354,282,210,299
254,451,275,292
315,354,257,263
315,329,207,335
279,285,249,293
292,352,304,299
229,291,259,263
228,339,207,250
302,369,213,305
273,335,257,310
228,349,244,317
286,287,288,261
429,298,274,300
272,288,246,260
311,323,271,324
320,354,228,279
277,329,210,332
307,290,253,249
285,300,263,325
326,294,229,270
283,346,210,263
278,344,271,298
244,308,244,259
234,323,210,324
279,318,269,305
240,293,268,267
290,342,266,280
415,326,218,292
303,330,260,272
240,296,208,296
310,368,263,297
367,331,210,263
355,343,271,277
476,299,270,261
301,323,211,327
273,292,238,310
233,291,295,288
231,354,245,263
239,288,276,289
396,383,222,263
236,337,276,319
312,284,210,290
274,326,280,260
281,291,214,293
282,329,281,263
231,286,209,309
250,319,285,372
270,381,228,297
228,318,241,307
290,291,239,259
292,324,210,315
253,282,207,285
225,360,280,264
255,326,285,288
241,329,230,265
287,290,210,316
236,288,225,381
1024,338,280,304
368,337,249,300
1103,366,209,266
274,286,210,287
342,320,259,328
284,329,264,291
230,295,294,265
309,319,210,338
286,303,271,257
227,312,235,320
225,347,208,261
236,287,266,313
328,347,239,315
289,284,218,261
309,356,257,251
247,295,250,312
326,307,210,315
234,372,262,307
282,340,213,263
353,367,267,314
498,290,211,267
291,335,263,279
241,323,251,294
294,290,211,325
279,288,265,284
233,358,218,294
299,327,268,265
292,294,278,337
256,329,231,263
244,339,224,293
276,297,247,259
236,350,213,264
273,334,256,339
285,287,259,297
289,339,209,256
313,284,264,331
239,371,209,309
299,353,252,261
245,588,209,319
315,324,275,330
282,574,213,292
236,333,286,261
299,293,256,303
254,286,208,253
231,328,291,310
305,354,211,262
320,301,277,339
238,358,275,299
226,301,209,320
307,354,300,304
256,347,262,255
253,329,210,318
246,283,268,339
241,316,237,268
320,338,275,306
264,293,212,283
303,365,258,260
263,322,210,311
272,289,264,300
291,353,212,407
233,318,253,257
241,288,239,307
297,315,272,257
253,319,207,314
316,282,261,274
368,327,249,258
238,338,276,318
363,295,297,263
282,344,253,266
239,351,209,309
319,366,243,315
249,314,212,306
235,305,215,252
592,320,257,292
325,332,227,301
397,324,282,311
473,292,207,312
324,359,306,284
296,336,250,253
284,345,211,394
315,285,213,282
237,347,295,392
288,363,254,339
255,315,458,294
314,375,256,259
291,347,211,279
244,289,210,302
335,344,264,292
300,289,268,252
272,310,213,304
293,368,261,324
240,335,250,276
308,336,213,290
284,289,258,264
455,324,211,331
226,332,212,342
235,284,284,307
300,336,402,251
299,337,273,317
228,307,261,306
485,288,268,322
306,361,208,263
264,334,281,290
236,340,286,263
253,288,282,257
229,316,255,318
311,379,209,287
278,305,281,256
312,283,256,252
257,350,213,291
234,287,236,1090
308,350,212,303
295,329,256,276
238,289,276,356
246,333,214,257
344,296,257,263
329,288,208,298
298,347,293,325
295,335,212,257
314,335,260,255
305,284,267,301
255,346,254,299
250,323,255,267
293,340,212,310
230,292,277,295
263,312,256,267
324,301,211,267
243,316,260,251
235,339,281,328
236,294,261,279
298,369,251,283
293,346,215,259
279,289,211,317
322,286,277,264
285,331,259,315
285,291,211,301
251,355,267,251
223,312,209,309
364,289,286,338
272,356,249,292
239,338,243,268
274,293,210,318
251,367,286,252
261,328,251,294
270,293,262,286
314,297,212,253
287,346,282,314
250,334,248,320
240,323,248,302
288,282,212,258
264,309,265,295
237,287,263,293
312,341,209,297
286,324,286,253
234,287,209,298
315,293,280,265
250,352,277,260
291,291,213,348
271,283,258,302
287,403,266,263
397,351,210,275
345,453,287,331
241,307,234,313
239,323,209,324
288,302,210,263
289,294,282,302
301,339,212,311
307,330,266,265
306,288,257,312
338,561,210,270
277,302,257,276
410,337,262,352
243,346,212,265
492,289,214,281
270,312,286,257
313,294,241,304
318,316,208,328
303,371,224,313
261,318,208,272
261,300,231,263
237,338,211,280
309,291,259,297
319,319,210,305
232,352,242,255
297,332,222,349
235,309,289,305
324,291,258,258
283,302,234,285
232,355,210,334
274,290,209,290
262,343,240,272
223,312,245,249
299,286,207,311
228,319,266,263
294,283,211,317
262,312,264,291
238,320,291,312
281,1304,266,289
288,311,254,269
287,1407,214,294
248,343,274,263
309,293,265,250
284,284,212,325
336,352,304,302
267,333,494,262
255,579,401,319
296,291,457,309
283,288,512,260
305,357,409,312
258,333,398,310
239,288,345,252
318,372,209,308
283,331,209,276
262,385,244,260
296,282,212,298
293,367,214,295
227,349,240,259
302,566,281,260
286,289,249,330
249,338,291,251
299,585,280,315
238,344,248,290
302,293,212,339
239,283,254,291
286,639,256,319
237,318,279,317
288,375,213,248
272,304,232,306
310,279,245,307
296,367,212,262
243,327,230,308
265,297,208,318
282,285,1069,253
298,305,1212,284
234,334,210,345
289,317,210,248
236,291,1069,259
273,313,1177,320
277,376,294,333
265,348,299,316
301,290,211,266
237,285,266,304
274,341,273,284
228,337,260,258
391,287,216,332
327,349,219,310
344,306,216,249
448,312,210,260
230,295,294,336
408,306,249,288
292,364,213,293
247,283,283,306
233,288,284,262
354,334,235,270
253,308,212,267
439,283,208,335
338,289,266,283
298,346,266,305
288,312,444,275
270,328,212,251
338,333,289,304
236,390,243,329
288,334,291,337
234,290,247,254
312,284,219,262
274,368,214,337
235,330,297,294
231,295,257,319
294,298,251,252
279,381,212,344
247,350,277,303
283,316,259,261
260,382,254,309
243,284,211,259
232,301,272,272
268,360,223,309
234,322,211,274
280,285,256,325
239,329,249,253
292,287,214,309
259,282,254,295
306,352,217,261
242,314,223,263
311,320,267,313
233,289,209,262
286,305,271,269
250,324,210,301
244,292,256,314
298,325,235,311
227,286,211,601
328,328,222,296
271,287,212,268
326,333,252,343
237,339,232,507
379,292,209,267
322,333,219,316
278,295,256,261
276,310,228,329
235,349,295,292
304,305,234,254
276,351,211,303
264,349,262,274
232,348,327,291
299,339,236,259
288,363,332,272
237,331,241,328
252,378,266,257
300,364,267,271
244,441,208,327
301,488,283,251
331,437,227,310
312,354,241,294
270,290,210,314
271,343,265,264
239,291,229,293
283,328,212,310
294,290,237,261
232,288,210,301
294,292,259,289
265,323,213,300
258,342,209,254
249,343,224,296
231,311,304,305
303,344,257,255
249,337,209,344
327,347,287,263
281,289,240,310
261,567,212,257
289,331,252,313
291,326,232,255
229,287,277,306
274,326,213,263
290,282,253,339
257,358,251,321
284,294,214,255
242,346,210,302
259,348,283,292
375,292,211,268
266,332,269,339
373,288,242,320
306,358,259,262
338,325,244,283
288,280,212,277
253,334,253,250
274,597,208,321
225,290,260,315
384,316,245,265
330,282,218,257
255,386,265,312
270,338,230,261
331,291,247,326
274,347,209,285
310,293,213,319
280,409,276,372
255,361,247,322
254,314,213,253
262,293,278,312
320,349,256,317
230,295,252,308
253,337,213,432
224,288,268,254
236,351,210,258
308,278,249,351
292,289,262,312
239,365,375,317
239,421,261,257
323,333,214,306
295,303,265,251
300,357,292,290
279,286,244,261
268,326,208,314
235,327,211,263
292,311,211,262
241,331,254,340
306,290,248,300
252,286,211,262
227,337,258,260
286,287,247,333
299,330,255,258
236,332,278,293
233,288,234,255
322,332,243,327
285,290,211,278
264,339,262,258
261,325,212,319
245,340,289,319
265,288,251,251
236,286,207,295
279,314,275,306
239,367,258,331
307,305,290,258
251,289,257,336
306,295,209,287
231,353,276,254
279,291,254,310
287,319,263,296
238,290,210,267
304,357,212,280
275,336,258,292
282,339,240,307
239,329,207,284
303,292,212,252
238,293,265,262
294,343,269,307
235,302,272,255
230,290,294,346
280,356,276,313
258,300,261,305
230,346,258,255
245,303,214,326
233,287,263,296
353,317,213,286
291,292,267,261
276,325,210,251
340,350,212,335
317,290,286,257
293,356,239,322
250,288,211,319
272,318,286,327
237,289,210,286
311,329,256,312
244,278,435,330
238,301,233,259
286,359,299,322
364,313,249,281
239,293,210,265
291,320,276,304
346,285,277,296
400,300,211,309
288,322,247,277
313,290,258,261
239,279,224,253
239,325,209,321
305,375,285,299
272,286,260,267
244,300,211,261
241,355,209,301
316,342,267,303
393,323,210,266
312,337,268,328
245,282,266,309
227,408,210,272
305,299,211,257
271,308,270,260
303,303,255,292
234,609,212,318
291,338,210,284
300,294,244,292
252,436,301,264
278,361,212,258
281,334,259,309
235,279,223,314
297,357,216,283
289,340,284,262
232,349,240,263
297,319,231,256
260,312,208,340
318,287,277,295
272,288,213,512
232,290,302,317
278,362,270,255
227,325,293,319
284,284,269,263
281,358,280,317
231,363,262,301
228,309,249,291
336,288,216,336
296,353,207,255
318,367,290,318
312,325,272,292
254,289,250,263
360,289,271,273
341,339,287,328
327,281,262,265
275,322,209,273
279,336,287,266
253,305,211,260
289,288,294,345
249,309,240,307
245,294,222,297
230,283,250,287
294,344,210,271
250,293,278,254
236,304,240,303
313,279,221,317
231,326,227,260
311,285,263,293
288,312,208,315
269,367,231,270
257,301,236,336
302,321,210,270
285,297,270,302
243,308,209,252
480,299,244,302
286,282,213,291
231,341,251,260
271,319,218,293
263,349,275,290
235,289,244,266
311,364,208,345
231,316,215,296
298,288,262,320
283,338,233,263
321,286,209,282
292,291,209,287
258,339,292,325
234,340,346,330
291,284,213,265
244,361,211,307
288,295,285,271
251,329,261,288
300,318,274,310
257,285,445,341
246,321,211,327
288,349,211,289
316,335,252,261
279,341,217,252
237,288,270,302
330,339,224,273
269,281,256,254
338,344,250,313
343,329,268,252
285,290,212,263
402,313,230,284
268,280,213,268
234,292,222,346
315,361,256,291
264,293,279,293
271,364,250,259
274,334,239,332
406,284,215,328
493,331,254,262
239,291,1014,265
387,341,978,298
335,297,209,275
261,292,251,325
321,364,210,274
339,303,258,324
242,281,239,260
222,326,213,310
247,290,209,270
258,349,259,314
235,320,282,263
278,298,265,293
312,290,985,287
280,323,264,257
302,344,288,260
234,292,255,314
294,319,211,329
301,283,211,300
243,362,281,266
311,291,210,260
225,343,289,296
286,401,270,293
237,325,209,316
294,295,210,521
270,335,253,317
264,345,210,262
268,310,290,315
249,348,245,262
234,294,209,288
321,357,212,287
227,354,281,269
311,311,247,256
1051,295,277,331
236,317,211,287
1141,279,220,276
315,333,262,317
270,287,240,264
241,356,208,336
275,338,232,299
270,286,213,289
245,335,267,253
320,298,210,295
224,344,209,270
229,308,275,291
306,283,219,334
232,344,207,263
301,290,276,317
256,321,274,320
243,291,253,317
302,287,210,258
259,313,279,302
236,378,270,324
304,298,208,332
229,350,245,315
283,322,208,260
244,336,241,295
283,331,212,255
276,312,271,255
281,327,227,321
274,283,266,336
325,289,209,309
235,378,212,260
252,294,289,286
327,346,246,253
291,283,417,313
264,339,240,317
290,294,234,313
231,317,333,281
297,302,262,261
296,293,216,334
288,343,241,298
245,350,221,256
230,298,278,289
315,296,355,302
296,363,254,261
235,287,410,316
287,360,288,324
234,317,331,253
321,284,295,315
277,314,322,260
280,577,208,311
237,309,277,304
283,293,330,264
472,337,263,319
301,350,226,307
417,314,210,280
362,287,282,324
309,357,257,304
379,299,210,293
371,276,246,252
277,364,209,278
317,320,283,258
314,337,236,310
229,307,211,318
236,289,242,271
289,299,240,266
345,337,208,317
413,318,248,348
237,310,268,332
299,315,210,257
238,283,209,310
292,347,269,318
251,291,209,271
337,329,243,266
228,296,210,269
239,306,250,287
283,306,209,250
228,296,263,266
270,284,210,360
297,312,271,253
226,292,266,310
279,340,233,258
299,290,219,332
234,368,248,286
282,350,210,297
301,326,262,252
289,325,266,301
227,287,227,257
279,333,346,326
490,287,208,315
229,353,288,304
333,301,260,253
295,410,284,329
251,345,250,293
243,332,217,324
303,293,248,304
287,314,211,282
233,371,212,283
253,307,274,266
270,285,265,288
236,293,212,259
273,388,228,314
294,316,211,300
226,295,236,262
277,388,222,312
256,336,237,273
287,286,232,357
238,295,208,308
306,280,233,263
270,333,250,263
276,293,307,337
239,322,211,262
321,293,270,292
233,330,219,254
305,290,235,271
285,289,244,299
283,341,211,256
253,289,236,286
280,316,292,265
245,284,280,335
230,288,244,259
298,334,233,259
236,319,209,336
310,319,208,333
264,289,229,292
248,313,251,259
293,286,210,326
261,290,237,320
286,340,253,257
239,293,220,276
284,365,279,267
243,279,214,254
298,366,240,277
241,311,210,262
279,290,283,288
341,295,209,301
230,349,280,254
297,318,245,261
278,285,209,345
236,340,243,312
278,294,237,276
268,336,255,262
241,280,269,260
245,364,210,292
285,323,221,312
227,299,213,305
308,292,253,308
271,337,260,262
269,307,232,255
243,284,229,301
235,348,228,267
309,286,289,294
262,354,209,266
275,290,243,344
266,320,244,254
378,303,208,290
324,286,218,318
334,338,290,255
239,330,257,327
366,314,212,262
226,369,221,300
222,283,302,368
234,290,263,317
418,309,286,294
380,292,209,301
342,324,260,294
299,286,274,252
248,332,213,292
282,335,249,261
345,334,261,319
311,286,210,299
244,290,242,260
233,311,299,270
233,299,209,286
228,354,286,264
322,322,287,346
294,288,264,296
299,357,214,261
240,325,262,256
346,285,251,320
311,312,214,330
233,308,270,280
245,351,229,259
355,297,245,259
228,314,246,319
307,309,243,252
244,294,226,314
236,317,210,298
311,292,279,258
237,280,235,519
300,335,215,256
225,326,271,318
313,278,252,330
267,360,229,297
246,350,266,261
236,325,211,255
288,295,207,317
274,333,275,261
288,296,211,325
235,313,305,283
327,291,257,534
284,289,263,262
237,354,237,327
304,293,214,293
279,353,273,251
229,413,250,333
295,526,212,285
232,360,210,262
338,334,276,261
294,288,209,288
295,350,268,332
280,286,231,289
252,290,241,282
262,333,264,330
296,290,211,322
336,348,257,264
244,336,210,310
331,315,263,295
250,293,302,261
333,314,211,303
270,339,266,312
249,294,212,303
282,353,267,261
257,347,256,261
243,297,258,323
292,315,211,291
344,282,269,286
268,320,250,284
250,284,208,266
318,279,249,315
273,346,209,310
234,317,212,283
305,300,273,283
235,328,239,293
315,289,210,265
317,291,229,293
294,340,207,286
273,315,209,258
265,281,249,266
292,338,208,338
281,276,284,270
230,370,209,309
235,346,241,259
286,291,212,288
251,371,223,271
286,328,223,322
425,292,209,292
267,344,210,288
374,283,278,267
320,353,211,261
304,317,236,269
486,348,208,399
366,292,276,317
323,352,275,268
253,346,259,327
258,304,208,294
258,283,257,262
259,276,275,300
392,364,209,269
456,320,273,261
290,323,210,321
247,377,272,291
299,296,240,269
255,290,216,385
317,338,260,347
274,287,222,327
260,367,260,405
273,278,225,300
270,342,226,261
277,282,230,263
236,356,285,293
266,296,212,258
250,341,224,291
323,293,207,346
273,345,222,311
238,305,259,294
245,302,284,333
226,278,221,337
298,320,231,329
276,336,208,277
235,1241,257,255
292,292,209,263
557,345,229,273
281,317,301,318
231,293,209,264
282,292,207,321
1132,285,271,305
244,356,209,292
318,277,262,301
286,351,269,292
228,291,222,258
340,361,239,252
297,283,261,353
262,348,209,254
249,347,208,340
272,287,272,310
329,349,209,265
236,293,277,312
283,306,210,273
365,350,239,1201
274,1221,286,300
252,327,248,322
262,349,207,253
250,289,211,301
274,344,276,257
227,320,207,265
314,295,244,321
262,284,418,265
233,357,271,308
286,292,210,255
481,349,268,295
259,284,253,293
245,314,223,259
277,324,231,342
239,286,270,268
247,287,275,333
319,341,210,294
235,367,266,261
264,294,271,252
333,342,254,525
281,312,269,333
256,292,261,254
286,278,209,327
240,329,240,304
255,341,210,255
402,306,256,319
240,288,210,269
227,285,263,272
305,387,281,340
279,300,222,283
269,338,262,258
275,335,211,297
244,285,352,258
235,323,409,423
319,291,403,505
244,309,470,333
226,373,558,337
291,321,635,310
270,289,229,292
244,321,230,256
274,282,248,306
235,331,210,302
259,346,255,260
239,328,325,307
307,292,252,257
250,321,207,310
301,284,255,273
266,289,211,264
233,352,209,292
235,311,262,258
271,291,242,251
305,288,212,311
392,364,252,283
258,325,255,258
336,300,278,296
275,323,246,263
247,294,219,259
280,291,235,297
236,366,211,267
323,289,265,308
242,285,212,258
244,320,210,315
247,287,946,312
349,289,206,370
406,353,268,260
240,290,906,306
314,347,209,313
261,328,279,333
272,290,265,319
322,336,246,262
310,336,235,273
318,288,211,346
250,345,208,296
235,315,265,308
254,282,912,265
237,332,212,332
361,291,211,270
280,350,234,261
226,289,317,317
269,331,256,308
232,328,207,252
288,314,254,263
243,280,208,330
281,348,932,327
314,315,417,304
284,291,313,266
237,326,211,298
242,293,302,255
284,350,933,296
229,313,271,263
269,299,231,501
240,292,228,283
275,327,313,339
250,284,265,270
316,289,208,254
307,335,255,336
268,299,252,269
283,354,211,309
324,373,300,252
316,290,246,315
244,366,211,288
322,334,958,267
275,292,215,292
253,348,262,268
266,339,249,302
332,288,214,258
275,367,256,257
240,345,210,311
288,289,259,308
250,290,213,266
253,364,218,260
317,331,239,335
242,294,296,254
243,348,211,325
305,287,247,282
255,336,254,262
285,296,261,262
268,300,208,324
348,367,279,304
259,354,208,321
298,336,270,271
241,286,210,314
304,344,251,255
264,340,240,287
264,277,210,289
234,351,212,261
238,292,281,294
291,336,244,325
311,368,212,266
238,320,253,315
296,332,221,264
295,327,276,348
235,295,236,312
338,315,246,261
293,292,267,305
240,279,212,245
288,318,273,330
298,370,244,312
264,287,277,315
292,345,209,280
256,290,265,377
243,305,289,378
272,361,241,334
238,288,211,341
272,343,296,260
231,313,259,319
258,283,212,265
397,356,208,265
348,285,242,300
362,336,303,266
295,569,237,339
386,291,221,292
237,354,210,258
311,310,210,247
278,585,281,325
298,295,210,303
234,286,289,306
234,324,210,270
313,325,253,307
231,279,278,261
397,342,268,315
305,331,211,302
264,306,258,269
244,294,226,310
272,332,211,364
311,383,230,322
296,345,245,287
269,288,463,293
231,330,210,266
231,450,253,326
295,400,206,282
286,342,216,257
250,320,258,278
292,293,208,357
268,291,304,327
288,347,262,296
288,332,250,268
254,281,302,259
311,373,247,325
252,295,417,297
252,323,256,519
308,290,210,269
287,286,215,320
243,336,301,302
280,336,242,254
282,311,208,264
230,288,209,312
317,291,250,260
243,354,257,262
331,279,209,329
264,381,211,293
244,349,245,262
324,318,300,255
501,296,209,313
287,352,269,319
269,306,218,286
330,413,259,261
304,327,244,316
238,364,206,265
320,318,271,256
298,280,264,287
297,287,262,300
272,332,260,267
235,285,207,306
231,344,263,268
303,294,218,255
287,359,212,295
302,357,291,258
254,294,247,273
240,367,288,254
273,307,214,336
270,285,288,318
233,315,242,251
292,1296,275,1103
267,283,209,300
234,368,261,358
309,347,243,296
277,305,212,249
261,327,231,317
232,374,211,264
302,281,233,335
279,294,211,316
256,322,284,256
345,374,216,266
298,306,269,323
267,293,212,323
245,333,239,292
288,304,209,250
241,282,281,295
317,289,266,265
266,345,207,267
321,312,265,275
298,355,211,334
285,319,263,247
276,280,254,290
323,288,208,252
290,338,244,340
235,290,215,289
287,326,250,279
271,280,208,262
229,332,242,270
297,346,208,319
485,333,250,249
297,293,208,274
266,306,213,294
250,292,259,302
236,295,212,258
305,365,264,329
457,337,397,269
282,278,215,328
397,385,271,306
337,294,241,249
605,378,206,315
328,345,260,260
283,315,266,334
233,291,244,256
308,350,210,297
452,314,207,356
289,325,266,267
293,282,209,320
237,288,250,302
434,356,238,255
270,349,210,319
421,319,259,260
358,291,210,289
310,286,267,340
260,333,214,305
304,285,279,302
251,361,223,295
546,315,255,267
245,295,245,327
250,349,209,278
303,283,238,249
232,345,212,309
264,318,289,314
243,288,252,283
280,342,213,255
304,280,236,310
309,290,283,265
300,335,240,313
246,294,208,257
285,364,209,320
245,291,272,303
313,315,206,254
260,367,278,263
528,288,253,309
300,311,211,295
508,295,209,252
295,345,243,291
290,314,208,270
246,349,285,257
306,300,281,325
280,305,232,306
256,281,209,270
295,291,247,314
294,371,222,270
230,343,286,251
296,296,258,254
264,284,253,341
260,349,207,323
302,329,210,259
291,295,266,284
255,353,209,260
293,358,283,280
252,298,210,339
253,328,297,315
294,334,215,247
252,288,268,337
258,344,240,288
282,365,230,308
238,289,207,286
266,360,272,266
243,281,210,287
300,330,218,285
246,290,286,256
240,343,212,282
247,400,265,259
314,348,278,291
241,287,207,252
236,319,287,262
276,280,211,309
275,330,240,264
254,297,214,320
241,344,265,255
274,317,372,336
254,293,209,288
369,304,242,259
283,287,210,320
235,382,287,260
297,279,233,282
249,348,249,344
277,326,208,279
309,299,211,257
297,320,213,254
262,287,251,268
273,323,256,332
258,285,209,260
298,340,210,297
267,367,225,307
240,284,281,271
269,349,209,268
260,310,283,309
296,302,220,247
283,383,271,258
250,340,246,329
231,286,208,252
425,333,211,324
392,289,410,280
341,337,270,288
271,280,276,269
290,327,210,266
502,296,259,329
332,364,213,296
416,334,207,305
267,282,263,259
397,305,250,305
355,284,252,279
248,345,230,261
238,332,210,309
254,285,211,304
244,318,277,287
284,322,210,265
308,310,246,295
270,291,209,291
231,334,248,317
298,346,207,272
245,286,250,341
290,316,248,253
269,370,213,307
259,288,219,248
237,308,234,313
248,290,294,309
316,350,209,254
280,292,278,266
268,338,211,348
277,348,265,309
270,313,236,253
275,286,211,307
270,285,286,256
246,327,250,333
289,395,230,273
279,306,227,336
1068,362,224,330
319,282,274,290
262,349,210,270
290,338,263,263
238,302,211,297
278,348,209,365
235,315,270,252
311,290,262,260
242,365,256,335
262,321,211,308
236,291,256,255
298,276,210,260
236,332,258,281
279,287,211,343
246,351,205,287
266,335,308,259
232,335,286,310
235,655,250,259
308,338,242,276
308,344,213,254
240,342,259,291
280,283,240,261
259,356,304,260
244,343,213,327
292,313,210,293
281,290,209,259
295,349,233,319
281,375,290,263
234,365,247,287
314,715,209,306
299,354,233,311
258,370,212,292
295,362,246,263
279,288,208,313
228,341,285,299
284,291,239,256
242,374,208,258
276,337,209,282
245,580,258,307
236,374,210,268
317,324,262,300
265,430,257,257
249,292,230,345
292,295,210,297
258,290,215,264
244,277,207,336
337,340,228,317
284,319,223,292
244,338,352,279
248,299,210,257
308,314,210,263
257,348,253,325
240,301,261,269
274,326,212,340
291,366,273,328
249,277,226,261
292,317,224,297
262,330,264,334
247,289,271,290
305,336,212,269
261,280,258,313
275,328,210,301
254,344,264,256
279,291,217,266
240,287,282,328
429,293,259,294
319,284,209,262
267,367,227,260
266,294,216,303
388,290,211,264
291,312,263,331
381,283,246,299
272,281,207,264
242,351,207,253
396,341,273,334
254,286,234,293
365,371,258,332
312,294,210,304
288,306,246,267
240,363,217,310
282,290,209,297
283,327,269,278
265,331,212,314
241,344,254,290
264,328,210,294
260,283,209,250
253,321,300,255
259,323,267,328
262,289,212,316
281,314,274,304
255,306,207,322
320,321,231,259
284,286,285,255
315,313,237,340
283,292,212,339
242,286,209,293
320,319,245,256
484,288,216,318
302,340,269,248
262,292,206,273
242,355,212,334
271,344,240,301
281,280,208,255
255,362,249,269
248,317,212,338
305,308,257,257
290,282,247,316
243,314,212,283
298,344,212,253
270,293,270,292
305,354,230,299
261,338,209,263
280,297,258,313
241,328,210,272
255,285,246,253
326,282,268,318
315,325,214,327
246,362,210,293
292,301,254,249
269,361,262,322
241,311,235,284
242,290,209,268
315,376,247,308
295,322,211,318
248,336,262,258
250,295,274,268
244,290,288,306
257,278,241,273
238,366,212,262
241,317,228,260
290,299,281,334
276,298,269,319
245,577,208,270
244,364,214,291
274,292,261,298
283,343,267,258
228,417,210,332
258,316,271,291
251,280,213,260
295,337,269,245
284,347,246,318
255,345,251,269
298,317,247,315
247,572,210,276
259,291,249,255
233,329,214,286
266,372,246,625
247,289,233,263
279,278,210,298
258,372,239,256
309,355,226,314
246,324,209,267
245,293,213,260
292,288,250,325
263,364,222,318
243,321,240,317
248,282,214,267
306,297,267,329
284,360,210,262
244,319,235,303
256,323,214,365
287,348,259,261
430,307,233,305
409,284,288,267
375,289,225,294
450,1145,282,289
322,303,210,258
285,307,257,322
287,294,209,299
240,303,270,297
243,286,241,310
419,280,218,270
371,371,275,324
254,341,253,335
320,290,242,290
232,329,209,291
312,297,269,262
289,335,211,338
295,288,244,308
260,349,244,276
271,312,255,336
242,309,266,282
247,328,210,315
243,286,223,295
261,290,280,260
304,344,217,288
237,330,248,339
304,283,335,303
275,311,213,261
278,292,211,317
303,291,300,314
275,353,229,253
243,290,291,290
262,360,210,263
242,330,249,363
489,287,210,297
257,330,265,322
499,279,233,311
250,285,210,269
328,328,270,281
503,325,248,251
307,366,222,284
277,320,294,262
259,294,260,252
242,291,228,289
289,291,212,306
323,360,273,301
281,289,242,266
244,365,239,300
474,277,212,255
323,335,207,327
311,352,236,255
295,288,253,299
287,380,210,295
237,363,241,261
292,329,209,266
302,311,264,322
254,290,260,306
311,334,248,316
310,276,213,259
269,345,215,311
293,290,251,254
246,363,238,319
281,309,208,263
282,292,211,316
345,289,264,257
288,357,251,341
239,284,212,292
331,369,252,268
301,350,206,312
241,404,279,297
